StationID,StationName,Date,Tmax,Tmin,Precip
CYBR,BRANDON ARPT,2020-07-26,25.5,11.1,0
CYBR,BRANDON ARPT,2020-07-27,26.5,11.8,0
CYBR,BRANDON ARPT,2020-07-28,27.7,11.5,0
CYBR,BRANDON ARPT,2020-07-29,27.9,12.6,0
CYBR,BRANDON ARPT,2020-07-30,29.5,14.6,0
CYBR,BRANDON ARPT,2020-07-31,26,14.3,0
CYBR,BRANDON ARPT,2020-08-01,25.2,11.8,0
CYBR,BRANDON ARPT,2020-08-02,24.1,11.5,0
CYBR,BRANDON ARPT,2020-08-03,24.8,10,0
CYBR,BRANDON ARPT,2020-08-04,24.5,10,0.3
CYBR,BRANDON ARPT,2020-08-05,26.6,11.7,0
CYBR,BRANDON ARPT,2020-08-06,28.4,12.7,0
CYBR,BRANDON ARPT,2020-08-07,29.9,13.7,0
CYBR,BRANDON ARPT,2020-08-08,27.5,10,0
CYBR,BRANDON ARPT,2020-08-09,23.7,12.3,0
CYBR,BRANDON ARPT,2020-08-10,26.9,9.2,0
CYBR,BRANDON ARPT,2020-08-11,26.3,9,0
CYBR,BRANDON ARPT,2020-08-12,29.6,13.4,0
CYBR,BRANDON ARPT,2020-08-13,24,15.2,41.5
CYBR,BRANDON ARPT,2020-08-14,21.4,11.9,0.6
CYBR,BRANDON ARPT,2020-08-15,24.1,10.3,0.5
CYBR,BRANDON ARPT,2020-08-16,24,10.4,0
CYBR,BRANDON ARPT,2020-08-17,26.4,9,0
CYBR,BRANDON ARPT,2020-08-18,30.8,14.5,0
CYBR,BRANDON ARPT,2020-08-19,32.6,15.2,8.1
CYBR,BRANDON ARPT,2020-08-20,28.3,15.7,0
CYBR,BRANDON ARPT,2020-08-21,28.1,16.4,0
CYBR,BRANDON ARPT,2020-08-22,25.6,14.4,0
CYBR,BRANDON ARPT,2020-08-23,26,12.4,0
CYBR,BRANDON ARPT,2020-08-24,28.8,9.5,0
CYBR,BRANDON ARPT,2020-08-25,26.8,14.1,0
CYBR,BRANDON ARPT,2020-08-26,25.7,13.1,0
CYBR,BRANDON ARPT,2020-08-27,25.2,11.2,0
CYBR,BRANDON ARPT,2020-08-28,22.5,9.6,0
CYBR,BRANDON ARPT,2020-08-29,24.3,6.6,0
CYBR,BRANDON ARPT,2020-08-30,15.9,7.9,6.1
CYBR,BRANDON ARPT,2020-08-31,18.1,3.9,0
CYBR,BRANDON ARPT,2020-09-01,22.7,2.9,0
CYBR,BRANDON ARPT,2020-09-02,17.1,8,6.9
CYBR,BRANDON ARPT,2020-09-03,18.6,7,0
CYBR,BRANDON ARPT,2020-09-04,20.8,5.9,0
CYBR,BRANDON ARPT,2020-09-05,26.2,6,0
CYBR,BRANDON ARPT,2020-09-06,19,5,0.2
CYBR,BRANDON ARPT,2020-09-07,9.7,-0.3,0
CYBR,BRANDON ARPT,2020-09-08,11.5,-1,0
CYBR,BRANDON ARPT,2020-09-09,18,0.8,0
CYBR,BRANDON ARPT,2020-09-10,24.4,3.2,0
CYBR,BRANDON ARPT,2020-09-11,22.6,5.5,0
CYBR,BRANDON ARPT,2020-09-12,20.1,4.9,0.5
CYBR,BRANDON ARPT,2020-09-13,15.2,3.6,1
CYBR,BRANDON ARPT,2020-09-14,16.1,1.5,0
CYBR,BRANDON ARPT,2020-09-15,16.6,4.5,0
CYBR,BRANDON ARPT,2020-09-16,12.9,0.1,0
CYBR,BRANDON ARPT,2020-09-17,10.2,-3.3,0
CYBR,BRANDON ARPT,2020-09-18,23.5,2.9,0
CYBR,BRANDON ARPT,2020-09-19,25.3,2.9,0
CYBR,BRANDON ARPT,2020-09-20,24.9,9.7,0
CYBR,BRANDON ARPT,2020-09-21,23.3,6.8,0
CYBR,BRANDON ARPT,2020-09-22,27.8,4.1,0
CYBR,BRANDON ARPT,2020-09-23,13.8,3.9,2.1
CYBR,BRANDON ARPT,2020-09-24,23.4,2.4,0.2
CYBR,BRANDON ARPT,2020-09-25,23.8,5.9,0
CYBR,BRANDON ARPT,2020-09-26,21.1,7.3,0
CYBR,BRANDON ARPT,2020-09-27,16.4,8.4,0.5
CYBR,BRANDON ARPT,2020-09-28,12.2,7.6,0
CYBR,BRANDON ARPT,2020-09-29,19.9,4.3,0
CYBR,BRANDON ARPT,2020-09-30,12.1,4,0
CYBR,BRANDON ARPT,2020-10-01,9,-1.7,0
CYBR,BRANDON ARPT,2020-10-02,9.8,-0.7,0
CYBR,BRANDON ARPT,2020-10-03,12,-0.9,0
CYBR,BRANDON ARPT,2020-10-04,18.4,-0.4,0
CYBR,BRANDON ARPT,2020-10-05,18.7,6.5,0
CYBR,BRANDON ARPT,2020-10-06,19,2.7,0.4
CYBR,BRANDON ARPT,2020-10-07,13.1,0.1,0
CYBR,BRANDON ARPT,2020-10-08,18.7,-0.1,0
CYBR,BRANDON ARPT,2020-10-09,14.3,-0.5,0
CYBR,BRANDON ARPT,2020-10-10,15.4,-2.9,0
CYBR,BRANDON ARPT,2020-10-11,17.7,6.7,0
CYBR,BRANDON ARPT,2020-10-12,13.4,0.9,0
CYBR,BRANDON ARPT,2020-10-13,12.1,2.6,0
CYBR,BRANDON ARPT,2020-10-14,7.7,-4.7,1.9
CYBR,BRANDON ARPT,2020-10-15,4.9,-6.7,0
CYBR,BRANDON ARPT,2020-10-16,3.4,-9.9,0
CYBR,BRANDON ARPT,2020-10-17,-1,-11,0
CYBR,BRANDON ARPT,2020-10-18,0.9,-10.4,0
CYBR,BRANDON ARPT,2020-10-19,2.9,-8.6,0
CYBR,BRANDON ARPT,2020-10-20,-0.1,-11,4.2
CYBR,BRANDON ARPT,2020-10-21,-0.5,-9.6,0.6
CYBR,BRANDON ARPT,2020-10-22,-0.3,-9.2,0
CYBR,BRANDON ARPT,2020-10-23,-2.9,-11.8,0
CYBR,BRANDON ARPT,2020-10-24,-3.5,-11.3,0
CYBR,BRANDON ARPT,2020-10-25,-3.2,-7.7,0
CYBR,BRANDON ARPT,2020-10-26,-3.3,-10.5,0
CYBR,BRANDON ARPT,2020-10-27,4.3,-10.4,1.2
CYBR,BRANDON ARPT,2020-10-28,3,-3.8,0.3
CYBR,BRANDON ARPT,2020-10-29,0.6,-3.8,0
CYBR,BRANDON ARPT,2020-10-30,2.7,-7.1,0
CYBR,BRANDON ARPT,2020-10-31,6.9,-7.7,0
CYBR,BRANDON ARPT,2020-11-01,5.9,-11.8,0
CYBR,BRANDON ARPT,2020-11-02,16.4,-0.9,0
CYBR,BRANDON ARPT,2020-11-03,16.5,0.1,0
CYBR,BRANDON ARPT,2020-11-04,19.2,-2.9,0
CYBR,BRANDON ARPT,2020-11-05,17.5,-4.1,0
CYBR,BRANDON ARPT,2020-11-06,7.1,-4.4,0
CYBR,BRANDON ARPT,2020-11-07,-1,-5.5,0
CYBR,BRANDON ARPT,2020-11-08,1.8,-2.4,0
CYBR,BRANDON ARPT,2020-11-09,-2.4,-12.8,0.2
CYBR,BRANDON ARPT,2020-11-10,-6.4,-17.5,0.2
CYBR,BRANDON ARPT,2020-11-11,-5.3,-15.8,0.9
